                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74205,                 3.9528,                 1.0003,                0.00256,                0.71111,                0.01427,                0.01238,                0.57741,                 3.6471,                0.94499,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                0.68002,                 3.8692,                0.93097,                0.00255,                0.71111,                0.01561,                0.01372,                0.57306,                 3.6459,                  0.945,             4.2828e-05,             4.2828e-05,             4.2828e-05
                      3,                0.72116,                 3.8284,                0.96371,                0.00313,                0.82778,                0.07451,                0.07086,                0.51929,                 3.5862,                0.90748,             7.1309e-05,             7.1309e-05,             7.1309e-05
                      4,                0.57596,                 3.5995,                0.90228,                0.00394,                      1,                0.17244,                0.16077,                0.51022,                 3.4273,                0.87291,             9.9733e-05,             9.9733e-05,             9.9733e-05
                      5,                0.66256,                  3.532,                0.92463,                0.00388,                      1,                0.27894,                0.25438,                0.52177,                 3.3157,                0.86162,              0.0001281,              0.0001281,              0.0001281
                      6,                0.63995,                 3.2102,                0.86927,                0.00374,                      1,                0.37049,                0.31213,                0.59969,                 3.0895,                0.85347,             0.00015641,             0.00015641,             0.00015641
                      7,                0.66464,                 2.5995,                 0.8986,                0.00365,                      1,                0.49891,                0.42418,                  0.585,                 2.9231,                0.84442,             0.00018467,             0.00018467,             0.00018467
                      8,                0.58378,                 2.2137,                0.86745,                0.00362,                      1,                0.68271,                0.60481,                 0.5636,                 2.8077,                0.82602,             0.00021286,             0.00021286,             0.00021286
                      9,                0.61037,                 1.8926,                0.86148,                0.00363,                      1,                0.78264,                0.69773,                0.55592,                 2.7061,                 0.8243,             0.00024101,             0.00024101,             0.00024101
                     10,                0.59214,                 1.7318,                0.82866,                0.01283,                      1,                0.86063,                0.76051,                0.54135,                 2.6762,                 0.8173,             0.00026909,             0.00026909,             0.00026909
                     11,                0.59878,                 1.4396,                0.86126,                0.01161,                0.91111,                0.81997,                0.71428,                0.55835,                 2.7966,                0.83612,             0.00029712,             0.00029712,             0.00029712
                     12,                0.57318,                 1.2285,                0.85075,                0.96432,                0.56625,                0.80017,                0.67163,                 0.6052,                 2.8737,                0.86473,             0.00032509,             0.00032509,             0.00032509
                     13,                0.54658,                 1.3283,                0.86421,                      1,                0.25535,                0.76536,                0.66164,                0.63057,                 2.9376,                 0.8682,             0.00035301,             0.00035301,             0.00035301
                     14,                0.60685,                 1.2637,                0.85365,                      1,                0.24134,                0.84363,                0.73359,                0.56515,                 2.8896,                0.83561,             0.00038086,             0.00038086,             0.00038086
                     15,                0.59042,                 1.2888,                0.86052,                      1,                0.24587,                0.95206,                0.82794,                0.55641,                 2.7725,                0.82748,             0.00040867,             0.00040867,             0.00040867
                     16,                0.53881,                 1.1185,                0.83438,                      1,                0.28094,                0.95068,                0.84473,                0.50319,                 2.6555,                0.81563,             0.00043641,             0.00043641,             0.00043641
                     17,                0.56561,                 1.1641,                0.84747,                      1,                  0.266,                0.91573,                0.80533,                0.57064,                 2.6872,                0.82412,              0.0004641,              0.0004641,              0.0004641
                     18,                0.55701,                 1.1592,                0.84502,                      1,                0.27037,                0.90028,                0.75914,                0.62103,                 2.7685,                0.84542,             0.00049173,             0.00049173,             0.00049173
