                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81168,                 2.0538,                 1.0989,                0.24296,                0.59148,                0.25081,                 0.1797,                0.90917,                  52.65,                 1.3549,             0.00046551,             0.00046551,             0.00046551
                      2,                0.85132,                 1.8095,                 1.1907,                0.00105,                0.12261,                0.00089,                0.00025,                 2.7462,                    inf,                 6.1603,             0.00094091,             0.00094091,             0.00094091
                      3,                 1.0377,                 1.8523,                 1.3123,                  4e-05,                0.01389,                  2e-05,                      0,                 4.8231,                    inf,                 574.92,              0.0014154,              0.0014154,              0.0014154
                      4,                0.98109,                 2.5873,                 1.2448,                0.64766,                0.24138,                0.26586,                0.20683,                 1.0679,                 24.861,                 1.4957,              0.0014248,              0.0014248,              0.0014248
                      5,                 1.0349,                  2.518,                  1.238,                0.53163,                0.01149,                0.01325,                0.01147,                 1.0915,                 3.0474,                   1.49,              0.0014248,              0.0014248,              0.0014248
                      6,                 1.0241,                  2.013,                 1.2717,                0.47927,                0.08046,                0.07883,                0.03058,                 3.3879,                 4.9038,                 6.9775,              0.0014233,              0.0014233,              0.0014233
                      7,                 1.0391,                 1.3322,                 1.2699,                 0.0034,                0.01389,                0.00462,                0.00283,                 3.2841,                 69.247,                 4.7274,              0.0014219,              0.0014219,              0.0014219
                      8,                 1.0213,                 1.5475,                 1.2575,                0.24357,                0.03333,                0.03264,                0.02599,                  2.976,                 6.3832,                 3.7336,              0.0014205,              0.0014205,              0.0014205
                      9,                0.92075,                 1.1661,                 1.2372,                0.37125,                0.19483,                0.18841,                0.14542,                 1.4071,                 2.7254,                 2.0756,              0.0014191,              0.0014191,              0.0014191
                     10,                0.96699,                 1.0846,                 1.2507,                0.37125,                0.19483,                0.18841,                0.14542,                    nan,                    nan,                    nan,              0.0014177,              0.0014177,              0.0014177
